,Classifier,precision,Recall,F1 score,ROC/AUC
0,knn,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.8343301435406698
1,Logistic,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9677033492822967
2,Decision_Tree,0.5714285714285714,0.7272727272727273,0.64,0.7858851674641149
3,Naive_Bayes,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.9294258373205742
4,SVM,1.0,0.6363636363636364,0.7777777777777778,0.9641148325358851
