,Classifier,precision,Recall,F1 score,ROC/AUC
0,knn,1,0.545454545,0.705882353,0.978428351
1,Logistic,0.666666667,0.727272727,0.695652174,0.973805855
2,Decision_Tree,0.196078431,0.909090909,0.322580645,0.652542373
3,Naive_Bayes,0.36,0.818181818,0.5,0.793528505
4,SVM,1,1,1,1
