,Classifier,precision,Recall,F1 score,ROC/AUC
0,knn,0.875,0.9491525423728814,0.9105691056910569,0.9640907785119218
1,Logistic,0.8833333333333333,0.8983050847457628,0.8907563025210085,0.9143924159724217
2,Decision_Tree,0.7894736842105263,0.2542372881355932,0.3846153846153846,0.6308532031025568
3,Naive_Bayes,0.9074074074074074,0.8305084745762712,0.8672566371681415,0.8939959781671933
4,SVM,0.9508196721311475,0.9830508474576272,0.9666666666666667,0.9971272622809537
